x	f(x)	f'(x)
1,50000	0,3238392086	-0,4627938027
1,55000	0,3007529067	-0,4599115451
1,60000	0,2779187462	-0,4527885478
1,65000	0,2555365323	-0,4419171368
1,70000	0,2337810883	-0,4278024323
1,75000	0,2128018850	-0,4109517101
1,80000	0,1927231793	-0,3918647205
1,85000	0,1736446100	-0,3710250239
1,90000	0,1556421927	-0,3488929847
1,95000	0,1387696514	-0,3258990591
2,00000	0,1230600248	-0,3024393927
2,05000	0,1085274821	-0,2788721349
2,10000	0,0951692861	-0,2555150817
2,15000	0,0829678467	-0,2326444539
2,20000	0,0718928079	-0,2104947099
2,25000	0,0619031213	-0,1892592791
2,30000	0,0529490624	-0,1690920872
2,35000	0,0449741538	-0,1501097391
2,40000	0,0379169654	-0,1323942264
2,45000	0,0317127691	-0,1159960253
2,50000	0,0262950309	-0,1009374603
2,55000	0,0215967316	-0,0872162158
2,60000	0,0175515096	-0,0748088910
2,65000	0,0140946274	-0,0636745062
2,70000	0,0111637650	-0,0537578813
2,75000	0,0086996497	-0,0449928241
2,80000	0,0066465316	-0,0373050778
2,85000	0,0049525192	-0,0306149929
2,90000	0,0035697881	-0,0248398999
2,95000	0,0024546792	-0,0198961713
3,00000	0,0015677017	-0,0157009728
3,05000	0,0008734560	-0,0121737085
3,10000	0,0003404916	-0,0092371775
3,15000	-0,0000588858	-0,0068184594
3,20000	-0,0003488452	-0,0048495535
3,25000	-0,0005502879	-0,0032677985
3,30000	-0,0006811207	-0,0020161000
3,35000	-0,0007565362	-0,0010429946
3,40000	-0,0007892937	-0,0003025785
3,45000	-0,0007899927	0,0002456736
3,50000	-0,0007673352	0,0006371741
3,55000	-0,0007283740	0,0009025495
3,60000	-0,0006787426	0,0010680105
3,65000	-0,0006228659	0,0011557464
3,70000	-0,0005641516	0,0011843299
3,75000	-0,0005051609	0,0011691195
3,80000	-0,0004477591	0,0011226510
3,85000	-0,0003932474	0,0010549236
3,90000	-0,0003424769	0,0009741321
3,95000	-0,0002959453	0,0008863390
4,00000	-0,0002538790	0,0007962512
4,05000	-0,0002163007	0,0007073411
4,10000	-0,0001830861	0,0006220741
4,15000	-0,0001540081	0,0005421075
4,20000	-0,0001287739	0,0004684610
4,25000	-0,0001070523	0,0004016611
4,30000	-0,0000884956	0,0003418625
4,35000	-0,0000727558	0,0002889474
4,40000	-0,0000594956	0,0002426067
4,45000	-0,0000483968	0,0002024049
4,50000	-0,0000391650	0,0001678309
4,55000	-0,0000315324	0,0001383368
4,60000	-0,0000252590	0,0001133670
4,65000	-0,0000201321	0,0000923795
4,70000	-0,0000159656	0,0000748602
4,75000	-0,0000125982	0,0000603325
4,80000	-0,0000098914	0,0000483621
4,85000	-0,0000077273	0,0000385598
4,90000	-0,0000060063	0,0000305812
4,95000	-0,0000046449	0,0000241254
5,00000	-0,0000035736	0,0000189319
5,05000	-0,0000027351	0,0000147778
5,10000	-0,0000020822	0,0000114739
5,15000	-0,0000015766	0,0000088610
5,20000	-0,0000011872	0,0000068060
5,25000	-0,0000008889	0,0000051989
5,30000	-0,0000006616	0,0000039491
5,35000	-0,0000004894	0,0000029826
5,40000	-0,0000003598	0,0000022395
5,45000	-0,0000002627	0,0000016713
5,50000	-0,0000001905	0,0000012396
5,55000	-0,0000001371	0,0000009134
5,60000	-0,0000000978	0,0000006685
5,65000	-0,0000000692	0,0000004857
5,70000	-0,0000000485	0,0000003502
5,75000	-0,0000000336	0,0000002505
5,80000	-0,0000000230	0,0000001776
5,85000	-0,0000000155	0,0000001247
5,90000	-0,0000000103	0,0000000866
5,95000	-0,0000000067	0,0000000594
6,00000	-0,0000000043	0,0000000402
6,05000	-0,0000000026	0,0000000267
6,10000	-0,0000000015	0,0000000174
6,15000	-0,0000000008	0,0000000111
6,20000	-0,0000000004	0,0000000068
6,25000	-0,0000000001	0,0000000040
6,30000	0,0000000000	0,0000000022
6,35000	0,0000000001	0,0000000010
6,40000	0,0000000001	0,0000000003
6,45000	0,0000000002	-0,0000000001
6,50000	0,0000000001	-0,0000000003
