x	f(x)	f'(x)
1,50000	0,0341324015	-0,1511753146
1,55000	0,0272155641	-0,1259863097
1,60000	0,0214844365	-0,1037529002
1,65000	0,0167913754	-0,0844500365
1,70000	0,0129926675	-0,0679507102
1,75000	0,0099528766	-0,0540555370
1,80000	0,0075477904	-0,0425189956
1,85000	0,0056661549	-0,0330716042
1,90000	0,0042104088	-0,0254377555
1,95000	0,0030966329	-0,0193493651
2,00000	0,0022539230	-0,0145551337
2,05000	0,0016233687	-0,0108272759
2,10000	0,0011567996	-0,0079644354
2,15000	0,0008154242	-0,0057928346
2,20000	0,0005684603	-0,0041656460
2,25000	0,0003918291	-0,0029612095
2,30000	0,0002669565	-0,0020805374
2,35000	0,0001797098	-0,0014444631
2,40000	0,0001194806	-0,0009907044
2,45000	0,0000784118	-0,0006710316
2,50000	0,0000507614	-0,0004486663
2,55000	0,0000323883	-0,0002959803
2,60000	0,0000203462	-0,0001925232
2,65000	0,0000125667	-0,0001233767
2,70000	0,0000076174	-0,0000778152
2,75000	0,0000045201	-0,0000483080
2,80000	0,0000026165	-0,0000293846
2,85000	0,0000014698	-0,0000174940
2,90000	0,0000007947	-0,0000101586
2,95000	0,0000004079	-0,0000057246
3,00000	0,0000001935	-0,0000031057
3,05000	0,0000000797	-0,0000016004
3,10000	0,0000000228	-0,0000007635
3,15000	-0,0000000029	-0,0000003177
3,20000	-0,0000000125	-0,0000000942
3,25000	-0,0000000142	0,0000000076
3,30000	-0,0000000127	0,0000000460
3,35000	-0,0000000101	0,0000000537
3,40000	-0,0000000075	0,0000000483
3,45000	-0,0000000054	0,0000000386
3,50000	-0,0000000037	0,0000000288
3,55000	-0,0000000024	0,0000000204
3,60000	-0,0000000016	0,0000000140
3,65000	-0,0000000010	0,0000000093
3,70000	-0,0000000006	0,0000000061
3,75000	-0,0000000004	0,0000000039
3,80000	-0,0000000002	0,0000000024
3,85000	-0,0000000001	0,0000000015
3,90000	-0,0000000001	0,0000000009
3,95000	-0,0000000000	0,0000000005
4,00000	-0,0000000000	0,0000000003
4,05000	-0,0000000000	0,0000000002
4,10000	-0,0000000000	0,0000000001
4,15000	-0,0000000000	0,0000000001
4,20000	-0,0000000000	0,0000000000
4,25000	-0,0000000000	0,0000000000
4,30000	-0,0000000000	0,0000000000
4,35000	-0,0000000000	0,0000000000
4,40000	-0,0000000000	0,0000000000
4,45000	-0,0000000000	0,0000000000
4,50000	-0,0000000000	0,0000000000
4,55000	-0,0000000000	0,0000000000
4,60000	-0,0000000000	0,0000000000
4,65000	-0,0000000000	0,0000000000
4,70000	-0,0000000000	0,0000000000
4,75000	-0,0000000000	0,0000000000
4,80000	-0,0000000000	0,0000000000
4,85000	-0,0000000000	0,0000000000
4,90000	-0,0000000000	0,0000000000
4,95000	-0,0000000000	0,0000000000
5,00000	-0,0000000000	0,0000000000
5,05000	-0,0000000000	0,0000000000
5,10000	-0,0000000000	0,0000000000
5,15000	-0,0000000000	0,0000000000
5,20000	-0,0000000000	0,0000000000
5,25000	-0,0000000000	0,0000000000
5,30000	-0,0000000000	0,0000000000
5,35000	-0,0000000000	0,0000000000
5,40000	-0,0000000000	0,0000000000
5,45000	-0,0000000000	0,0000000000
5,50000	-0,0000000000	0,0000000000
5,55000	-0,0000000000	0,0000000000
5,60000	-0,0000000000	0,0000000000
5,65000	-0,0000000000	0,0000000000
5,70000	-0,0000000000	0,0000000000
5,75000	-0,0000000000	0,0000000000
5,80000	-0,0000000000	0,0000000000
5,85000	-0,0000000000	0,0000000000
5,90000	-0,0000000000	0,0000000000
5,95000	-0,0000000000	0,0000000000
6,00000	-0,0000000000	0,0000000000
6,05000	-0,0000000000	0,0000000000
6,10000	-0,0000000000	0,0000000000
6,15000	-0,0000000000	0,0000000000
6,20000	-0,0000000000	0,0000000000
6,25000	-0,0000000000	0,0000000000
6,30000	0,0000000000	0,0000000000
6,35000	0,0000000000	-0,0000000000
6,40000	0,0000000000	-0,0000000000
6,45000	0,0000000000	-0,0000000000
6,50000	0,0000000000	-0,0000000000
